time,open,high,low,close,Volume,Volume MA,MA
425914200,168.12,171.4,161.5,162.56,1590170000,1504742500,150.2760000000002
428592600,162.34,165.8,158.5,164.4,1706430000,1542090500,154.6260000000002
431271000,164.4,170.41,163.95,166.07,1739810000,1580664000,159.18800000000022
434035800,166.07,172.65,162.86,163.55,1794620000,1621785500,162.0900000000002
436545000,163.55,168.6,161.63,166.39,1814610000,1649081500,164.37800000000018
439137000,166.4,168.05,161.58,164.93,1848860000,1684700000,164.7060000000002
441901800,168.3,170.95,162.03,163.42,2215660000,1744160000,164.9380000000002
444493800,163.43,164,152.13,157.06,1932810000,1785274000,164.5940000000002
446999400,157.07,160.46,153.77,159.18,1854920000,1820760500,165.0680000000002
449764200,159.19,161.45,154.12,160.04,1717530000,1822998500,164.8720000000002
452266200,160.07,162.11,148.68,150.55,1939550000,1842574000,163.07000000000022
454944600,150.55,155.64,148.53,153.18,1812870000,1829789500,162.19600000000023
457623000,153.21,156.3,147.26,150.66,1662200000,1820047500,160.92600000000022
460215000,150.66,168.79,150.66,166.68,2526920000,1862289500,158.05000000000024
463066200,166.9,170.1,163.06,166.1,1768660000,1857842500,156.00200000000024
465485400,166.07,169.62,160.02,166.09,2110230000,1882581500,154.72200000000024
468167400,166.1,170.41,162.99,163.58,1757280000,1875349500,156.22200000000026
470932200,163.57,171.8,161.54,167.24,1781000000,1875056000,157.43400000000025
473437800,167.2,180.27,163.36,179.63,2673710000,1911085000,160.54200000000026
476116200,179.6,183.95,177.75,181.18,2194620000,1922123000,162.62200000000027
478535400,181.18,183.89,176.53,180.66,2153090000,1950269000,165.93800000000027
481213800,180.66,184.85,177.86,179.83,1981880000,1964041500,168.52800000000028
483802200,179.86,190.55,178.35,189.57,2350340000,1994568000,171.54400000000027
486653400,189.56,191.85,185.03,191.85,2117000000,2010687000,174.45800000000025
489072600,191.82,196.07,189.3,190.92,2463070000,2043110000,177.70800000000025
491751000,190.91,192.17,186.12,188.63,1923200000,2046827000,182.17400000000026
494515800,187.82,189.1,179.45,182.08,1860160000,2029052000,184.61800000000025
497021400,182.06,190.95,181.16,189.82,2543240000,2059573500,186.56600000000023
499703400,189.81,204.5,189.37,202.17,2445370000,2089096000,188.16000000000025
502381800,202.17,213.75,200.1,211.28,2804380000,2143438500,188.61000000000024
504973800,212.3,214.57,202.6,211.78,2879010000,2190411500,188.66000000000022
507825000,211.72,227.92,210.82,226.92,2899100000,2244723000,190.72400000000022
510244200,226.92,243.8,222.18,238.9,3214600000,2322343000,194.79600000000022
512749800,238.88,245.47,226.3,235.52,3240400000,2358017000,199.42600000000022
515338200,235.51,250.4,232.26,247.35,2680240000,2403596000,208.39400000000018
518103000,247.34,251.81,238.23,250.84,2649600000,2430564500,218.2100000000002
520608600,250.67,255.2,233.07,236.12,3029900000,2494195500,224.88000000000025
523287000,236.12,254.24,231.92,252.93,2701900000,2540240500,232.09400000000022
525965400,252.93,254.13,228.08,231.32,3166300000,2564870000,239.90600000000023
528557400,231.32,244.51,231.32,243.98,3016740000,2605976000,241.74600000000024
531412200,243.97,249.22,235.51,249.22,2940830000,2645363000,244.55200000000022
533831400,249.22,254.87,241.28,242.16,3260870000,2709312500,243.71200000000022
536509800,242.17,280.96,242.17,274.08,4040880000,2793839500,243.03800000000018
539274600,274.08,287.55,273.16,284.2,3485300000,2862254500,242.71400000000017
541693800,284.17,302.72,282.3,291.7,3965100000,2937356000,243.92200000000017
544285800,291.7,303.64,275.68,288.35,3931700000,3037781000,248.15200000000013
546874200,288.35,298.69,277.02,290.1,3417700000,3115658000,258.7280000000002
549552600,290.1,310.25,286.93,304,3595000000,3168246000,268.27200000000016
552144600,304,318.85,302.54,318.66,3966400000,3244297500,276.0980000000001
554995800,320.25,337.89,314.51,329.79,4062400000,3307198500,285.68600000000015
557501400,329.81,332.18,308.56,321.83,3723200000,3349408000,291.6700000000002
560093400,321.87,328.93,216.47,251.79,6094500000,3509178000,298.5620000000002
562861800,251.79,257.21,225.76,230.31,3589530000,3527924500,306.1800000000002
565367400,233.96,253.35,221.24,247.09,3926750000,3562242000,312.8760000000001
568045800,247.1,261.77,240.17,257.07,3494700000,3602965000,305.2140000000001
570724200,257.05,267.82,247.82,267.82,3693240000,3655147000,290.4760000000001
573229800,267.83,272.64,256.07,258.89,4052970000,3706300500,276.1620000000001
575908200,258.88,272.03,254.71,261.33,3260760000,3734243500,261.61800000000005
578583000,261.33,263.7,248.85,262.14,3231370000,3737497000,250.8160000000001
581175000,262.16,276.88,262.1,273.5,4306710000,3801995500,252.23600000000005
583767000,273.51,276.36,262.48,272.01,3338470000,3821877500,258.44000000000005
586445400,272.02,274.2,256.53,261.52,3327470000,3825207500,261.4500000000001
589123800,261.52,274.87,256.98,271.91,3059450000,3776136000,264.7360000000001
591888600,271.91,283.95,268.84,278.97,3415160000,3772629000,265.5740000000001
594397800,278.97,280.37,262.85,273.69,2822820000,3715515000,266.1000000000001
596989800,273.68,280.45,270.47,277.72,2844900000,3661175000,268.2160000000001
599754600,277.72,297.51,273.81,297.48,3532220000,3666901000,271.5820000000001
602346600,297.48,300.57,286.26,288.86,3216280000,3647965000,271.6200000000001
